item,phasetype,survey,max_time,text,notes,shuffle_1,shuffle_2,task_title,task_body_text,weight,
0,afw_wordsearch,,300,"'Chair,Table,Spoon,Plate,Towel,Soap,Brush,Light,Clock,Pillow'",,,ws1,,,,
0,afw_ws_feedback,,user,Start Questionnaires,,,,Post-game measures,"<b>Thank you for completing the word search.</b><br><br>Unfortunately, you only managed to find <strong id = ""solvedCount"">X</strong> out of 10 words. Please complete these questionnaires regarding the level of frustration and attention you felt towards the word search.",,
0,tde_survey,post-task_attention_scale.csv,user,,,q2,,,,,
0,tde_survey,state_frustration_scale.csv,user,,,q2,,,,,
0,task_bookend,,user,Start Tetris,,,,Tetris Instructions,"<b>Thank you for completing the questionnaires. </b>
<br><br>
The next game is Tetris. In the centre of the screen you will see a box, Different shaped blocks will fall from the top of the box. You can rotate the falling block using the up-arrow key or moved it horizontally using the left and right arrow keys. If you wish to increase the speed the block falls at, press the down-arrow key. The aim of Tetris is to gain as many points as possible, by organising the falling blocks so that they complete a row. Completing rows will increase your score and for every 1000 points scored, the speed that the blocks fall will increase. Completed rows will disappear, providing more space to organise the shapes. 
<br><br>
On the right side of the game area, your score will be displayed along with the next shape that is going to fall. To pause the game, press the letter ‘P’ on the keyboard, however, this will not pause the timer. It just stops the shapes from falling. 
<br><br>
This game will last for 3 minutes. The timer is displayed in the same way as in the previous games, with a bar underneath the game box. As the bar empties, this indicates that the time left is decreasing. When the bar turns red, this indicates that there is very little time left. Once the timer runs out, the task will end, and you will automatically be taken to the next screen.
<br><br>
The highest scores of the research team are: Aaliyah: 3800, Chris: 4200, Phil: 3700.
<br><br>
To start playing Tetris, please press the blue start button below. Good luck and have fun getting as many points as you can!",,
0,tetris,,180,,seconds,,,,,,
0,task_bookend,,user,Start Questionnaires,,,,Post-game measures,<b>Thank you for playing the Tetris.</b><br><br>Please complete the following two questionnaires regarding your frustration and attention while playing Tetris.,,
0,tde_survey,post-task_attention_scale.csv,user,,,q3,,,,,
0,tde_survey,state_frustration_scale.csv,user,,,q3,,,,,
0,task_bookend,,user,Start Word Search,,,ws2,Word Search Instructions,"<b>Thank you for completing the questionnaires.</b>
<br><br>
The next game is a word search, which will be displayed on the next screen. 
<br><br>
On the next screen, a grid of letters will appear. <b>There are 10 medical terms words you are likely to unfamiliar with, hidden in the word search.</b> Words can appear horizontally, vertically or diagonally and are displayed as a list on the right of the grid. 
<br><br>
When you think you’ve found a word in the grid, click and drag over the letters using the mouse to create a yellow line. If the selected letters are correct, the line will turn green, and the word is removed from the list on the right of the grid. If the letters selected are not correct, the line will turn red and disappear. At the top of the screen, the number of words found is displayed.
<br><br>
The aim is to find all 10 words within 5 minutes. The timer is displayed in the same way as in Breakout, as a bar underneath the letter grid. The bar empties, to reveal the amount of time left. When the bar turns red, this indicates that there is very little time left. Once the timer runs out, the task will end, and your score will be displayed.
<br><br>
If you have located less than half the words by when the countdown timer reaches halfway, a hint button will button will appear under the list of words to find. When pressed, this will put a square around an area of the grid where a word is located. After a few seconds, this square will disappear. You only get 1 hint.
<br><br>
To start the wordsearch, please click the blue start button below. Good luck and have fun!",,
0,afw_wordsearch,,300,"'Dorsal,Alveoli,Scapula,Suture,Dyspnea,Pyrexia,Hallux,Keloid,Trachea,Thymus,Anemia,Biopsy,Fibroid'",,,ws2,,,,
0,afw_ws_feedback,,user,Start Questionnaires,,,,Post-game measures,"<b>Thank you for completing the word search.</b><br><br>Unfortunately, you only managed to find <strong id = ""solvedCount"">X</strong> out of 10 words. Please complete these questionnaires regarding the level of frustration and attention you felt towards the word search.",,
0,tde_survey,post-task_attention_scale.csv,user,,,q4,,,,,
0,tde_survey,state_frustration_scale.csv,user,,,q4,,,,,
0,task_bookend,,user,Start Debrief,,,,End of Experimental Tasks,"<b>Thank you for completing the final set of questionnaires.</b><br><br>You have now finished all the experimental tasks, puzzles, and games within the study. We hope you enjoyed it.<br><br>We now need to debrief you. This is a three step process. When you are ready to start, please click the button below.",,
0,afw_youtube,,user,"""uqj7f4M8iTw""",,,,Step 1: Kittens & Puppies,"The first step of the debrief requires you to watch a 2 minute video of kittens and puppies. This is being included to mitigate any frustration you may be feeling after playing the puzzles and games as a pilot test revealed people became frustrated if they did not do as well as they thought thought they might.<br><br>This video has sound, so please use the headphones provided. There are brand new. To start the video simply click on it. Once it has finished playing, it will be replaced by a button allowing you to continue to the next stage of the debrief.",,
0,afw_youtube,,user,"""QLb5sAXtQHU""",,,,Step 2: Message From Chris Dobson,"The second step of your debrief requires you to watch a 4 minute video of Chris Dobson, senior researcher on the project, explaining the study aims.<br><br>Once again, this video has sound, so please use the headphones provided. To start the video simply click on it. Once it has finished playing, it will be replaced by a button allowing you to continue to the final stage of the debrief.",,
0,afw_end,,user,,,,,,,,
