item,phasetype,survey,notes,text,shuffle_1,shuffle_2,task_title,task_body_text,weight,
0,msc_vas_humour,,{VAS},FUCK,,Taboo,,,,
0,msc_videos,,{CDQ},cdq,,Taboo,Task Evaluation Questionnaire,Please watch the video below to understand what is required of you.,,
0,tde_survey,cognitive_dissonance.csv,{COG DIS},2,,Taboo,,,,
0,task_bookend,,{SURVEYS},Continue,,Taboo,Questionnaire Complete,"<p>Thank you for completing the previous task. Your response has been correctly saved. When you are ready to continue, please click below.</p>",,
0,msc_videos,,-,wordsearch,,Taboo,Time for a break...,Please watch the video below to understand what is required of you.,,
0,wordsearch_teabiscuits,,-,,,Taboo,,,,
0,wordsearch_feedback,,-,,,Taboo,Wordsearch Task Complete,,,
0,msc_videos,,{BART},bart,,Taboo,Balloon Inflation Task,Please watch the video below to understand what is required of you.,,
0,msc_videos,,{VOCAL},flat_vocal,,Taboo,Word Vocalisation: Flat,Please watch the video below to understand what is required of you.,,
0,bart,,{BART},,,Taboo,,,,
0,msc_videos,,{LDT},ldt,,Taboo,Lexical Decision Task,"Please watch the video below to understand what is required of you.<script>
 $(document).on('keydown', function(event){
$(document).off('keypress');
  if(event.which == 32) {
   Phase.submit()
  } // closes if (event.which)
 }) // Closes function(event)
</script><style>
#proceed_button {
display:none!important;
}
</style>",,
92 to 101,ldt_with_practice,,{LDT},,,Taboo,,,,
0,task_bookend,,{LDT},,,Taboo,End Of Practice Trials,"<p>That completes the practice trials. You will now complete the experimental trials. Once again, all you have to do is decide whether the word displayed in the centre of the screen <b><u>rhymes</u> with the word you repeated out loud for 20 seconds before the previous balloon inflation task.</b> <br><br> <b>&bull; If the word <span style=""color:blue;""><em><u>rhymes</u></em> press P</span><br><br>&bull; If the word <span style=""color:red;""><u><em>does not rhyme</em></u> press Q</b></span><br> <br>Please position your index fingers over the required P and Q keys, as shown below before starting.<br><b>Please note: </b>The following experimental trials <span style=""text-decoration: underline;""><em>do not</em></span> provide you with feedback as to whether your response was correct or not. <br><br>When you are ready and positioned your fingers as shown, press the <b>Spacebar</b> with your thumb to start the task.</p><br><br><img src=""../../collector-experiments/User/Assets/MSc/ldt_keyboard3.jpg"" id=""ldt_img""/>
<script>
 $(document).on('keydown', function(event){
  //$(document).off('keydown');
  if(event.which == 32) {
   Phase.submit()
  } // closes if (event.which)
 }) // Closes function(event)
</script>
<style>
#ldt_img {
 display: block;
 margin: auto;
}
#proceed_button {
display:none!important;
}
</style>",,
42 to 81,ldt_no_practice,,{LDT},,,Taboo,,,,
0,msc_videos,,{VAS},vas_offensive,,Taboo,Word Rating 1,Please watch the video below to understand what is required of you.,,
0,msc_vas_offensiveness,,{VAS},FLAT,,Taboo,,,,
0,msc_videos,,{VAS},vas_humour,,Taboo,Word Rating 2,Please watch the video below to understand what is required of you.,,
0,msc_vas_humour,,{VAS},FLAT,,Taboo,,,,
0,msc_videos,,{CDQ},cdq,,Taboo,Task Evaluation Questionnaire,Please watch the video below to understand what is required of you.,,
0,tde_survey,cognitive_dissonance.csv,{COG DIS},3,,Taboo,,,,
0,task_bookend,,{SURVEYS},Continue,,Taboo,Questionnaire Complete,"<p>Thank you for completing the previous task. Your response has been correctly saved. When you are ready to continue, please click below.</p>",,
0,uor_cover_end,,,Session Complete,,,../../collector-experiments/User/Assets/MSc/cover_zoom_out.css,,,
0,uor_end,,-,,,,,,,
0,save,,,Save your data,,,💾 Please Save Your Data 💾,"There have been some issues with data not correctly being sent to the server, even though the study claims to have done so. I'm not 100% sure why this is occurring though which is making it hard to fix.<br/><br/>As a result, please can you click the button below and save the .csv file to your computer. I'll send you an email once I've checked the server letting you know if there have been any problems but, by saving your data, if there are any issues, I can use the .csv file to manually add anything that's missing, which means your time hasn't been wasted and/or my dissertation results impacted by an issue outside our control.<br/><br>If the button doesn't work for any reason, you can save your data by pressing Ctrl+S (Cmd+S on a Mac) too. Obviously, please don't delete this file from your computer until I've sent you an email saying all the data was correctly uploaded to the server.<br/><br/>Finally, if you could email <a href=""mailto:c.g.dobson@student.reading.ac.uk"">c.g.dobson@student.reading.ac.uk</a> to let me know you've finished this session would be great. There is currently a chance I won't be notified!",,
