item,phasetype,survey,max_time,notes,text,shuffle_1,shuffle_2,task_title,task_body_text,weight,
92 to 101,ldt_with_practice,,,{LDT},,,Non-Taboo,,,,
0,task_bookend,,,{LDT},,,Non-Taboo,End Of Practice Trials,"<p>That completes the practice trials. You will now complete the experimental trials. Once again, all you have to do is decide whether the word displayed in the centre of the screen <b><u>rhymes</u> with the word you repeated out loud for 20 seconds before the previous balloon inflation task.</b> <br><br> <b>&bull; If the word <span style=""color:blue;""><em><u>rhymes</u></em> press P</span><br><br>&bull; If the word <span style=""color:red;""><u><em>does not rhyme</em></u> press Q</b></span><br> <br>Please position your index fingers over the required P and Q keys, as shown below before starting.<br><b>Please note: </b>The following experimental trials <span style=""text-decoration: underline;""><em>do not</em></span> provide you with feedback as to whether your response was correct or not. <br><br>When you are ready and positioned your fingers as shown, press the <b>Spacebar</b> with your thumb to start the task.</p><br><br><img src=""../../collector-experiments/User/Assets/MSc/ldt_keyboard3.jpg"" id=""ldt_img""/>
<script>
 $(document).on('keydown', function(event){
  //$(document).off('keydown');
  if(event.which == 32) {
   Phase.submit()
  } // closes if (event.which)
 }) // Closes function(event)
</script>
<style>
#ldt_img {
 display: block;
 margin: auto;
}
#proceed_button {
display:none!important;
}
</style>",,
42 to 81,ldt_no_practice,,,{LDT},,,Non-Taboo,,,,
0,task_bookend,,,{LDT},Continue,,Non-Taboo,Task Complete,"<p>Thank you for completing the previous task. Your response has been correctly saved. When you are ready to continue, please click below.</p>",,
0,msc_vas_offensiveness,,,{VAS},FLAT,,Non-Taboo,,,,
0,msc_vas_humour,,,{VAS},FLAT,,Non-Taboo,,,,
0,task_bookend,,,{VAS},Continue,,Non-Taboo,Ratings Task Complete,"<p>Thank you for completing the previous task. Your response has been correctly saved. When you are ready to continue, please click below.</p>",,
0,tde_survey,cognitive_dissonance.csv,,{COG DIS},3,,Non-Taboo,,,,
0,task_bookend,,,{SURVEYS},Continue,,Non-Taboo,Questionnaire Complete,"<p>Thank you for completing the previous task. Your response has been correctly saved. When you are ready to continue, please click below.</p>",,
0,task_bookend,,,-,Start,,Non-Taboo,Wordsearch,"<p><b>Thank you for completing the first half of this experimental session.</b><br><br>Before starting the second half, in which you'll repeat the previous set of tasks after vocalising a different word for 20 seconds, we'd like to give you a short break.<br><br>On the next screen you will see, on the left, a grid of letters and, on the right, a list of 10 types of <b>tea and biscuits</b>. Each item is hidden within the grid of letters. When you find an item within the grid, use your mouse to click and drag across the corresponding letters (a yellow block-line will appear where you drag). If you correctly identify a hidden item, the block-line will turn green and the item will be crossed off the list.<br><img id=""bookendImg"" src=""../../collector-experiments/User/Assets/MSc/mug.svg"" /><br> You have <b>3 minutes</b> to find as many items as you can. A sliding bar below the wordsearch indicates how long you have left. If you find all the items before the time is up a ""New Game"" button will appear on the screen below the completed list. Click this button to refresh the wordsearch and generate a new list of items so you can carry on searching.<br><br> When you are ready, please press <b>Start</b> below to begin. Good luck!</p><br><br>",,
0,wordsearch_teabiscuits,,,{WORDSEARCH},,,Non-Taboo,,,,
0,wordsearch_feedback,,,{WORDSEARCH},,,Non-Taboo,Wordsearch Task Complete,,,
0,task_bookend,,,{BART},Start,,Non-Taboo,Balloon Inflation Task,"<p>During the next task, you will be presented with <b>10 balloons</b>, one at a time, as shown below. For each balloon you must repeatedly click on the button labelled 'Inflate Balloon' to increase its size, gaining 5 points for each click with which the balloon doesn't burst to score as many points as possible. <br><br>At any point, you can stop pumping up the balloon and click on 'Collect Points'. This will move you on the next balloon and will bank the points you scored from the previous balloon (under 'Total Points Earned'). It is your choice to determine how many clicks to make before banking your points, but remember each balloon will burst at some point. This point varies across all balloons, ranging from the first click to the sixtieth (i.e., enough to fill its entire box). <br><br><img src=""../../collector-experiments/User/Assets/MSc/balloon-analog-risk-task.jpg"" id=""bart_img""/>
<br/><br/> <b>If the balloon explodes before you click on 'Collect Points', then all points for that balloon are lost.</b> Burst balloons do not affect the points accumulated overall and the speed at which you pump does not affect the likelihood of the balloon bursting.</p>

<style>
#bart_img {
 border: 1px solid #808080;
 display: block;
 margin: auto;
}
</style>",,
0,msc_vocalisation_instructions,,,{BART},FUCK,,Non-Taboo,,,,
0,exit,,,{BART},"<b>Please wait for the researcher to ask you to speak</b><br>The word to repeat is FUCK

<script>
 $(document).on('keydown', function(event){
  //$(document).off('keydown');
  if(event.which == 70) {
   Phase.submit()
  } // closes if (event.which)
 }) // Closes function(event)
</script>",,Non-Taboo,,,,
0,bart,,,{BART},,,Non-Taboo,,,,
0,task_bookend,,,{BART},Continue,,Non-Taboo,Balloon Inflation Task Complete,"<p>Thank you for completing the previous task. Your response has been correctly saved. When you are ready to continue, please click below.</p>",,
0,task_bookend,,,{LDT},,,Non-Taboo,Lexical Decision Task,"<p>On the next page you will initially see a cross in the centre of the screen that will then be replaced with a word.<br>Once the word appears, you have <b>2 seconds</b> to decide whether the word <b>rhymes with the word you repeated out loud for 20 seconds before the previous balloon inflation task</b> and press a corresponding key. <br><br><b>&bull; If the word <span style=""color:blue;""><u><em>rhymes</em></u> you should press P</b></span><br><br><b>&bull; If the word <span style=""color:red;""><u><em>does not rhyme</em></u> press Q</b></span><br> <br>Please position your index fingers over the required P and Q keys, as shown below before starting. <br><br>Initially, you will have <b>10 practice trials</b> which will provide you with feedback as to whether you response was correct or not. <br><br>When you are ready and positioned your fingers as shown, press the <b>Spacebar</b> with your thumb to start the task.</p><br><br><img src=""../../collector-experiments/User/Assets/MSc/ldt_keyboard2.jpg"" id=""ldt_img""/>
<script>
 $(document).on('keydown', function(event){
  if(event.which == 32) {
   Phase.submit()
  } // closes if (event.which)
 }) // Closes function(event)
</script>
<style>
#ldt_img {
 display: block;
 margin: auto;
}
#proceed_button {
display:none!important;
}
</style>",,
82 to 91,ldt_with_practice,,,{LDT},,,Non-Taboo,,,,
0,task_bookend,,,{LDT},,,Non-Taboo,End Of Practice Trials,"<p>That completes the practice trials. You will now complete the experimental trials. Once again, all you have to do is decide whether the word displayed in the centre of the screen <b><u>rhymes</u> with the word you repeated out loud for 20 seconds before the previous balloon inflation task.</b> <br><br> <b>&bull; If the word <span style=""color:blue;""><em><u>rhymes</u></em> press P</span><br><br>&bull; If the word <span style=""color:red;""><u><em>does not rhyme</em></u> press Q</b></span><br> <br>Please position your index fingers over the required P and Q keys, as shown below before starting.<br><b>Please note: </b>The following experimental trials <span style=""text-decoration: underline;""><em>do not</em></span> provide you with feedback as to whether your response was correct or not. <br><br>When you are ready and positioned your fingers as shown, press the <b>Spacebar</b> with your thumb to start the task.</p><br><br><img src=""../../collector-experiments/User/Assets/MSc/ldt_keyboard3.jpg"" id=""ldt_img""/>
<script>
 $(document).on('keydown', function(event){
  //$(document).off('keydown');
  if(event.which == 32) {
   Phase.submit()
  } // closes if (event.which)
 }) // Closes function(event)
</script>
<style>
#ldt_img {
 display: block;
 margin: auto;
}
#proceed_button {
display:none!important;
}
</style>",,
2 to 41,ldt_no_practice,,,{LDT},,,Non-Taboo,,,,
0,task_bookend,,,{LDT},Continue,,Non-Taboo,Lexical Decision Task Complete,"<p>Thank you for completing the previous task. Your response has been correctly saved. When you are ready to continue, please click below.</p>",,
0,msc_vas_offensiveness,,,{VAS},FUCK,,Non-Taboo,,,,
0,msc_vas_humour,,,{VAS},FUCK,,Non-Taboo,,,,
0,task_bookend,,,{VAS},Continue,,Non-Taboo,Ratings Task Complete,"<p>Thank you for completing the previous task. Your response has been correctly saved. When you are ready to continue, please click below.</p>",,
0,tde_survey,cognitive_dissonance.csv,,{COG DIS},2,,Non-Taboo,,,,
0,task_bookend,,,{SURVEYS},Continue,,Non-Taboo,Questionnaire Complete,"<p>Thank you for completing the previous task. Your response has been correctly saved. When you are ready to continue, please click below.</p>",,
0,uor_cover_end,,,,Session Complete,,,../../collector-experiments/User/Assets/MSc/cover_zoom_out.css,,,
0,uor_end,,,-,,,,,,,
0,exit,,,"<b>Thank you for pilot testing the 'text instructions' study.</b><hr style=""width:66%;""><br/><em>Please provide feedback on your experience by clicking the link below. It's a short, 10-item questionnaire that allows me to ensure everything works smoothly before I start collecting data for real.</em><br/><a href=""https://forms.office.com/r/kgcd2tMduG"" target=""_blank"">https://forms.office.com/r/kgcd2tMduG</a><br/>Thank you. Chris",<b>You may now close your browser</b>,,,,,,
