item,phasetype,survey,max_time,text,shuffle_1,notes,cue_ms,isi_ms,probe_ms,response_ms,task_title,task_body_text,weight,
0,keyboard_bookend,,user,,,,,,,,End of Block 3,"<p>That completes the third block of 50 experimental trials. You may now have a break should you wish.<br><br>The next block of 50 trials are the same as before, with an initial letter displayed in the centre of the screen which will then disappear. After a short pause, a second letter will appear in the centre of the screen before being replaced by three stars. You are required to monitor for a specific combination of letters - A followed by X.<br><br>If you see the combination <b>A</b> followed by <b>X</b> → press the <span style=""color: blue""><b>P</b></span> key on your keyboard.<br>If you see any other combination (e.g., B followed by X or A followed by P) → press the <span style=""color: red""><b>L</b></span> key on your keyboard. You can respond while either the second letter or the three stars are displayed on screen.<br><br>Please place you middle finger of your right hand over the letter <span style=""color: blue""><b>P</b></span> and the index finger of your right hand over the letter <span style=""color: red""><b>L</b></span> (as shown in the image below.)<br><br><img id=""axcpt_keys_img"" src=""../../collector-experiments/User/Assets/axcpt/key1.jpg""></img><br><br>When you are ready to start your first block of experimental trials, please postion the index and middle finger of your right hand as shown and press the <b>space bar</b> with your thumb to begin.</p>",,
152 to 201,axcpt,,user,,lb4,,1000,4000,500,1000,,,,
0,axcpt_difficulty,,user,,,,,,,,Task Difficulty Rating,<b>Thank you for completing the first 'AX' continuous performance task</b>,,
0,task_bookend,,user,Start,,,,,,,Tetris,"<p><b>Thank you for making your rating. It's now time for a break!</b><br><br>On the next screen you get to play the arcade game, Tetris. Different shaped blocks will drop from the top of the on-screen ""playing area"" and, using the arrow keys on your keyboard, the aim is to stack the blocks to form a horizontal row, without gaps, across the lowest available part of the playing area. The arrow keys allow you to move the blocks left and right, rotate them, and drop them (make them fall faster if you're sure of your positioning).<br>br>Each full horizontal row you create scores you 100 points and causes the row to disappear. However, incomplete rows stay in place, raising the lowest part of the of the playing area.<br><br>You have 5 minutes to score as many points as possible, and a countdown timer is beneath to show how long you have left. Should the blocks stack up so that they reach the top of the playing area your game will end - but that's ok, if you still have time left you can simply start a new game and try again! Good luck!<br><br> When you are ready, please press <b>Start</b> to begin.</p>",,
0,tetris,,300,,,seconds,,,,,,,,
0,keyboard_bookend,,user,,,,,,,,Instructions,"<p>We hope you enjoyed playing Tetris. You will now complete your second AX continuous performance task. The task works the same as before with an initial letter displayed in the centre of the screen which will then disappear before being replaced, after a short pause, by a second letter. The second letter will then disappear and be replaced replaced by three stars. As before, you are required to monitor for the same, specific combination of letters: A followed by X.<br><br>If you see the combination <b>A</b> followed by <b>X</b> → press the <span style=""color: blue""><b>P</b></span> key on your keyboard.<br>If you see any other combination (e.g., B followed by X or A followed by P) → press the <span style=""color: red""><b>L</b></span> key on your keyboard. You can respond while either the second letter or the three stars are displayed on screen.<br><br<b>Please note: the length of time each letter is displayed on screen, the delay between then, and the time the three stars are displayed is much shorter in this task and may initially catch you out as you are required to respond much faster than before.</b><br> <br>Please place you middle finger of your right hand over the letter <span style=""color: blue""><b>P</b></span> and the index finger of your right hand over the letter <span style=""color: red""><b>L</b></span> (as shown in the image below.)<br><br><img id=""axcpt_keys_img"" src=""../../collector-experiments/User/Assets/axcpt/key1.jpg""></img><br><br>To begin you'll complete 10 practice trials that provide feedback as to whether you gave the correct response. After that, you'll undertake 200 experimental trials divided up into 4 blocks of 50, with a break provided between each block.<br><br>When you are ready to start, please position the index and middle finger of your right hand as shown and press the <b>space bar</b> with your thumb to begin the task.</p>",,
2 to 11,axcpt,,user,,sp,give_feedback,500,1500,500,500,,,,
0,keyboard_bookend,,user,,,,,,,,End of Practice Trials,"<p>That completes the 10 practice trials. You will now have 200 experimental trials, divided up into 4 blocks of 50 trials. In between each block you will be given a break.<br><br>Once again, you will initially see a letter displayed in the centre of the screen which will then disappear. After a short pause, a second letter will appear in the centre of the screen before being replaced by three stars. You are required to monitor for a specific combination of letters: A followed by X.<br><br>If you see the combination <b>A</b> followed by <b>X</b> → press the <span style=""color: blue""><b>P</b></span> key on your keyboard.<br>If you see any other combination (e.g., B followed by X or A followed by P) → press the <span style=""color: red""><b>L</b></span> key on your keyboard. You can respond while either the second letter or the three stars are displayed on screen.<br><br>Please place you middle finger of your right hand over the letter <span style=""color: blue""><b>P</b></span> and the index finger of your right hand over the letter <span style=""color: red""><b>L</b></span> (as shown in the image below.)<br><br><img id=""axcpt_keys_img"" src=""../../collector-experiments/User/Assets/axcpt/key1.jpg""></img><br><br>When you are ready to start your first block of experimental trials, please position the index and middle finger of your right hand as shown and press the <b>space bar</b> with your thumb to begin.</p>",,
2 to 46,axcpt,,user,,sb1,,500,1500,500,500,,,,
0,keyboard_bookend,,user,,,,,,,,End of Block 1,"<p>That completes the first block of 50 trials. You may now have a break should you wish.<br><br>The next block of 50 trials are the same as before, with an initial letter displayed in the centre of the screen which will then disappear. After a short pause, a second letter will appear in the centre of the screen before being replaced by three stars. You are required to monitor for a specific combination of letters: A followed by X.<br><br>If you see the combination <b>A</b> followed by <b>X</b> → press the <span style=""color: blue""><b>P</b></span> key on your keyboard.<br>If you see any other combination (e.g., B followed by X or A followed by P) → press the <span style=""color: red""><b>L</b></span> key on your keyboard. You can respond while either the second letter or the three stars are displayed on screen.<br><br>Please place you middle finger of your right hand over the letter <span style=""color: blue""><b>P</b></span> and the index finger of your right hand over the letter <span style=""color: red""><b>L</b></span> (as shown in the image below.)<br><br><img id=""axcpt_keys_img"" src=""../../collector-experiments/User/Assets/axcpt/key1.jpg""></img><br><br>When you are ready to start your first block of experimental trials, please postion the index and middle finger of your right hand as shown and press the <b>space bar</b> with your thumb to begin.</p>",,
52 to 96,axcpt,,user,,sb2,,500,1500,500,500,,,,
0,keyboard_bookend,,user,,,,,,,,End of Block 2,"<p>That completes the second block of 50 experimental trials. You may now have a break should you wish.<br><br>The next block of 50 trials are the same as before, with an initial letter displayed in the centre of the screen which will then disappear. After a short pause, a second letter will appear in the centre of the screen before being replaced by three stars. You are required to monitor for a specific combination of letters: A followed by X.<br><br>If you see the combination <b>A</b> followed by <b>X</b> → press the <span style=""color: bue""><b>P</b></span> key on your keyboard.<br>If you see any other combination (e.g., B followed by X or A followed by P) → press the <span style=""color: red""><b>L</b></span> key on your keyboard. You can respond while either the second letter or the three stars are displayed on screen.<br><br>Please place you middle finger of your right hand over the letter <span style=""color: blue""><b>P</b></span> and the index finger of your right hand over the letter <span style=""color: red""><b>L</b></span> (as shown in the image below.)<br><br><img id=""axcpt_keys_img"" src=""../../collector-experiments/User/Assets/axcpt/key1.jpg""></img><br><br>When you are ready to start your first block of experimental trials, please postion the index and middle finger of your right hand as shown and press the <b>space bar</b> with your thumb to begin.</p>",,
102 to 146,axcpt,,user,,sb3,,500,1500,500,500,,,,
0,keyboard_bookend,,user,,,,,,,,End of Block 3,"<p>That completes the third block of 50 experimental trials. You may now have a break should you wish.<br><br>The next block of 50 trials are the same as before, with an initial letter displayed in the centre of the screen which will then disappear. After a short pause, a second letter will appear in the centre of the screen before being replaced by three stars. You are required to monitor for a specific combination of letters: A followed by X.<br><br>If you see the combination <b>A</b> followed by <b>X</b> → press the <span style=""color: blue""><b>P</b></span> key on your keyboard.<br>If you see any other combination (e.g., B followed by X or A followed by P) → press the <span style=""color: red""><b>L</b></span> key on your keyboard. You can respond while either the second letter or the three stars are displayed on screen.<br><br>Please place you middle finger of your right hand over the letter <span style=""color: blue""><b>P</b></span> and the index finger of your right hand over the letter <span style=""color: red""><b>L</b></span> (as shown in the image below.)<br><br><img id=""axcpt_keys_img"" src=""../../collector-experiments/User/Assets/axcpt/key1.jpg""></img><br><br>When you are ready to start your first block of experimental trials, please postion the index and middle finger of your right hand as shown and press the <b>space bar</b> with your thumb to begin.</p>",,
152 to 196,axcpt,,user,,sb4,,500,1500,500,500,,,,
0,axcpt_difficulty,,user,,,,,,,,Task Difficulty Rating,<b>Thank you for completing the second 'AX' continuous performance task</b>,,
0,task_bookend,,user,Continue,,,,,,,Experiment Feedback,"<p>Thank you for completing the experimental tasks. As this is a study investigating the impact of task changes your feedback as to how you've found completing this study is important to us. On the next page we will give you an opportunity to supply us with written feedback regarding your experience.<br><br>When you are ready, please click 'Contunue'.</p>",,
0,axcpt_feedback,,300,,,,,,,,Experiment Feedback,"<p>Please could you provide some written feedback regarding how you have found completing this study. For example, were the instructions clear? Did you understand what was required of you? Did anything appear not to work? Equally, is there anything you feel we could add to the study that would have made it easier for you to complete?<br><br>Please write your feedback in the box below, the task will automatically continue after 5 minutes but you do not have to write for that length of time and the timer wont start until you start writing. If you do not have any feedback to give, please feel free to skip this task by pressing 'proceed'.</p>",,
0,tde_survey,axcpt_demo.csv,user,,,,,,,,,"<p>Thank you for providing us with feedback. We will now collect some basic demographic information.<br><br>When you are ready, please click
  'Contunue'.</p>",,
0,upload_data,,10,,,Uploading REDCap Markers,,,,,,,,
0,axcpt_debrief,,user,Analysing how AX-CPT Procedural Changes Alter Participants' Responses,,,,,,,,,,
