item,phasetype,survey,max_time,text,shuffle_1,notes,cue_ms,isi_ms,probe_ms,response_ms,task_title,task_body_text,weight,
102 to 146,axcpt,,user,,sb3,,500,1500,500,500,,,0,
0,keyboard_bookend,,user,,,axcpt,,,,,End of Block 3,"<p>That completes the third block of 45 experimental trials. You may have a break should you wish.<br><br>The final block of 45 trials are the same as before, with a letter appearing in the centre of the screen. It will then disappear and, after a short pause, a second letter will appear. The second letter will then be replaced by three asterisks. <br><br><b>You are required to monitor for a specific pair of letters: A followed by X.</b><br><br>If you see <b>A</b> followed by <b>X</b> → press <span style=""color: blue""><b>P</b></span> on your keyboard.<br>If you see any other combination (e.g., B followed by X or A followed by P) → press <span style=""color: red""><b>L</b></span> on your keyboard. You can only respond while the second letter or the asterisks are displayed.<br><br><img id=""axcpt_keys_img"" src=""../../collector-experiments/User/Assets/axcpt/stimuli_example.jpg""></img><br><br>Please place you middle finger of your right hand over the letter <span style=""color: blue""><b>P</b></span> and the index finger of your right hand over the letter <span style=""color: red""><b>L</b></span> (as shown in the image below.)<br><br><img id=""axcpt_keys_img"" src=""../../collector-experiments/User/Assets/axcpt/key1.jpg""></img><br><br>When you are ready to start your first block of experimental trials, please position the index and middle finger of your right hand as shown and press the <b>space bar</b> with your thumb to begin.</p>",0,
152 to 196,axcpt,,user,,sb4,,500,1500,500,500,,,0,
0,axcpt_difficulty,,user,,,,,,,,Task Difficulty Rating,<b>Thank you for completing the first 'AX' continuous performance task</b>,0,
0,task_bookend,,user,Start,,,,,,,Tetris,"<p><b>Thank you for making your rating. It's now time for a break!</b><br><br>On the next screen you get to play the arcade game, Tetris. Different shaped blocks will drop from the top of the on-screen ""playing area"" and, using the arrow keys on your keyboard, the aim is to stack the blocks to form a horizontal row, without gaps, across the lowest available part of the playing area. The arrow keys allow you to move the blocks left and right, rotate them, and drop them (make them fall faster if you're sure of your positioning).<br><br>Each full horizontal row you create scores you 100 points and causes the row to disappear. However, incomplete rows stay in place, raising the lowest part of the of the playing area.<br><br>You have 5 minutes to score as many points as possible, and a countdown timer is beneath to show how long you have left. Should the blocks stack up so that they reach the top of the playing area your game will end - but that's ok, if you still have time left you can simply start a new game and try again! <br><br>Good luck!<br><br> When you are ready, please press <b>Start</b> to begin.</p>",0,
0,tetris,,300,,,seconds,,,,,,,0,
0,keyboard_bookend,,user,,,axcpt,,,,,Instructions,"<p>We hope you enjoyed playing Tetris. You will now complete your second AX continuous performance task. The task is, essentially, the same as before. An initial letter will be displayed in the centre of the screen. This will be replaced by a blank screen before a second letter appears. The second letter will then be replaced by three asterisks. Once again, you are required to monitor for the same, specific combination of letters: A followed by X.</b><br><br>If you see <b>A</b> followed by <b>X</b> → press <span style=""color: blue""><b>P</b></span> on your keyboard.<br> but if you see any other combination (e.g., B followed by X or A followed by P) → press <span style=""color: red""><b>L</b></span> on your keyboard. You can only respond while the second letter or the asterisks are displayed.<br><br><img id=""axcpt_keys_img"" src=""../../collector-experiments/User/Assets/axcpt/stimuli_example.jpg""></img><br><br><b>Please note: the length of time each letter is displayed on screen, the delay between them, and the time the three asterisk are displayed for is longer this time and it may feel like the study has stopped working, especially on the blank screen.</b><br> <br>Please place you middle finger of your right hand over the letter <span style=""color: blue""><b>P</b></span> and the index finger of your right hand over the letter <span style=""color: red""><b>L</b></span> (as shown in the image below.)<br><br><img id=""axcpt_keys_img"" src=""../../collector-experiments/User/Assets/axcpt/key1.jpg""></img><br><br>To begin you'll complete 10 practice trials that provide feedback as to whether you gave the correct response. After that, you'll undertake 200 experimental trials divided up into 4 blocks of 50 trials, with a break provided between each block.<br><br>When you are ready to start, please position the index and middle finger of your right hand as shown and press the <b>space bar</b> with your thumb to begin the task.</p>",0,
2 to 11,axcpt,,user,,lp,give_feedback,1000,4000,500,1000,,,0,
0,keyboard_bookend,,user,,,axcpt,,,,,End of Practice Trials,"<p>That completes the 10 practice trials. You will now have 200 experimental trials, divided up into 4 blocks of 50 trials. Between each block you will be given a break.<br><br>Once again, a letter will appear in the centre of the screen. It will then disappear and, after a short pause, a second letter will appear. The second letter will then be replaced by three asterisks. <br><br><b>You are required to monitor for a specific pair of letters: A followed by X.</b><br><br>If you see <b>A</b> followed by <b>X</b> → press <span style=""color: blue""><b>P</b></span> on your keyboard.<br>If you see any other combination (e.g., B followed by X or A followed by P) → press <span style=""color: red""><b>L</b></span> on your keyboard. You can only respond while the second letter or the asterisks are displayed.<br><br><img id=""axcpt_keys_img"" src=""../../collector-experiments/User/Assets/axcpt/stimuli_example.jpg""></img><br><br>Please place you middle finger of your right hand over the letter <span style=""color: blue""><b>P</b></span> and the index finger of your right hand over the letter <span style=""color: red""><b>L</b></span> (as shown in the image below.)<br><br><img id=""axcpt_keys_img"" src=""../../collector-experiments/User/Assets/axcpt/key1.jpg""></img><br><br>When you are ready to start your first block of experimental trials, please position the index and middle finger of your right hand as shown and press the <b>space bar</b> with your thumb to begin.</p>",0,
2 to 51,axcpt,,user,,lb1,,1000,4000,500,1000,,,0,
0,keyboard_bookend,,user,,,axcpt,,,,,End of Block 1,"<p>That completes the first block of 50 trials. You may now have a break should you wish.<br><br>The next block of 50 trials are the same as before, with a letter appearing in the centre of the screen. It will then disappear and, after a short pause, a second letter will appear. The second letter will then be replaced by three asterisks. <br><br><b>You are required to monitor for a specific pair of letters: A followed by X.</b><br><br>If you see <b>A</b> followed by <b>X</b> → press <span style=""color: blue""><b>P</b></span> on your keyboard.<br>If you see any other combination (e.g., B followed by X or A followed by P) → press <span style=""color: red""><b>L</b></span> on your keyboard. You can only respond while the second letter or the asterisks are displayed.<br><br><img id=""axcpt_keys_img"" src=""../../collector-experiments/User/Assets/axcpt/stimuli_example.jpg""></img><br><br>Please place you middle finger of your right hand over the letter <span style=""color: blue""><b>P</b></span> and the index finger of your right hand over the letter <span style=""color: red""><b>L</b></span> (as shown in the image below.)<br><br><img id=""axcpt_keys_img"" src=""../../collector-experiments/User/Assets/axcpt/key1.jpg""></img><br><br>When you are ready to start your first block of experimental trials, please position the index and middle finger of your right hand as shown and press the <b>space bar</b> with your thumb to begin.</p>",0,
52 to 101,axcpt,,user,,lb2,,1000,4000,500,1000,,,0,
0,keyboard_bookend,,user,,,axcpt,,,,,End of Block 2,"<p>That completes the second block of 50 trials. You may now have a break should you wish.<br><br>The next block of 50 trials are the same as before, with a letter appearing in the centre of the screen. It will then disappear and, after a short pause, a second letter will appear. The second letter will then be replaced by three asterisks. <br><br><b>You are required to monitor for a specific pair of letters: A followed by X.</b><br><br>If you see <b>A</b> followed by <b>X</b> → press <span style=""color: blue""><b>P</b></span> on your keyboard.<br>If you see any other combination (e.g., B followed by X or A followed by P) → press <span style=""color: red""><b>L</b></span> on your keyboard. You can only respond while the second letter or the asterisks are displayed.<br><br><img id=""axcpt_keys_img"" src=""../../collector-experiments/User/Assets/axcpt/stimuli_example.jpg""></img><br><br>Please place you middle finger of your right hand over the letter <span style=""color: blue""><b>P</b></span> and the index finger of your right hand over the letter <span style=""color: red""><b>L</b></span> (as shown in the image below.)<br><br><img id=""axcpt_keys_img"" src=""../../collector-experiments/User/Assets/axcpt/key1.jpg""></img><br><br>When you are ready to start your first block of experimental trials, please position the index and middle finger of your right hand as shown and press the <b>space bar</b> with your thumb to begin.</p>",0,
102 to 151,axcpt,,user,,lb3,,1000,4000,500,1000,,,0,
0,keyboard_bookend,,user,,,axcpt,,,,,End of Block 3,"<p>That completes the third block of 50 trials. You may now have a break should you wish.<br><br>The final block of 50 trials are the same as before, with a letter appearing in the centre of the screen. It will then disappear and, after a short pause, a second letter will appear. The second letter will then be replaced by three asterisks. <br><br><b>You are required to monitor for a specific pair of letters: A followed by X.</b><br><br>If you see <b>A</b> followed by <b>X</b> → press <span style=""color: blue""><b>P</b></span> on your keyboard.<br>If you see any other combination (e.g., B followed by X or A followed by P) → press <span style=""color: red""><b>L</b></span> on your keyboard. You can only respond while the second letter or the asterisks are displayed.<br><br><img id=""axcpt_keys_img"" src=""../../collector-experiments/User/Assets/axcpt/stimuli_example.jpg""></img><br><br>Please place you middle finger of your right hand over the letter <span style=""color: blue""><b>P</b></span> and the index finger of your right hand over the letter <span style=""color: red""><b>L</b></span> (as shown in the image below.)<br><br><img id=""axcpt_keys_img"" src=""../../collector-experiments/User/Assets/axcpt/key1.jpg""></img><br><br>When you are ready to start your first block of experimental trials, please position the index and middle finger of your right hand as shown and press the <b>space bar</b> with your thumb to begin.</p>",0,
152 to 201,axcpt,,user,,lb4,,1000,4000,500,1000,,,0,
0,axcpt_difficulty,,user,,,,,,,,Task Difficulty Rating,<b>Thank you for completing the second 'AX' continuous performance task</b>,0,
0,task_bookend,,user,Continue,,,,,,,Experiment Feedback,"<p>Thank you for completing the experimental tasks. As this is a study investigating the impact of task changes your feedback as to how you've found completing this study is important to us. On the next page we will give you an opportunity to supply us with written feedback regarding your experience.<br><br>When you are ready, please click
  'Contunue'.</p>",0,
0,axcpt_feedback,,300,,,,,,,,Experiment Feedback,"<p>Please could you provide some written feedback regarding how you have found completing this study. For example, were the instructions clear? Did you understand what was required of you? Did anything appear not to work? Equally, is there anything you feel we could add to the study that would have made it easier for you to complete?<br><br>Please write your feedback in the box below, the task will automatically end after 5 minutes but you do not have to write for that length of time and the timer wont start until you start writing. If you do not have any feedback to give, please feel free to skip this task by pressing 'proceed'.</p>",0,
0,tde_survey,axcpt_demo.csv,user,,,,,,,,,"<p>Thank you for providing us with feedback. We will now collect some basic demographic information.<br><br>When you are ready, please click
  'Contunue'.</p>",0,
0,upload_data,,10,,,Uploading REDCap Markers,,,,,,,0,
0,axcpt_debrief,,user,Analysing how AX-CPT Procedural Changes Alter Participants' Responses,,,,,,,,,0,
